Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2021,NY,New York,Saratoga,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.7,,,2.3,3.1,237359,36091,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-73.8553872 43.1061353)
2021,NY,New York,Lewis,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,43.2,,,38.5,48.2,26573,36049,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-75.4441402 43.7826811)
2020,NY,New York,Oswego,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,62.2,,,58.2,66.1,117387,36075,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-76.2092618 43.4614431)
2021,NY,New York,Hamilton,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,31.8,,,27.1,36.5,5119,36041,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-74.5024556 43.6578786)
2020,NY,New York,Ulster,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,75.7,,,73.1,78.4,182951,36111,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-74.2654582 41.9472124)
2021,NY,New York,New York,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,24.6,,,22.8,26.6,1576876,36061,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-73.9701871 40.7766419)
2021,NY,New York,Orleans,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,26.7,,,23.3,30.2,40191,36073,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-78.2070281 43.3399059)
2021,NY,New York,Warren,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,25.7,,,23.1,28.5,65618,36113,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-73.8381388 43.5551053)
2021,NY,New York,Greene,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,10.7,,,9.2,12.5,48499,36039,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-74.1420253 42.2798211)
2020,NY,New York,Warren,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,45,,,36.6,52.8,65618,36113,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-73.8381388 43.5551053)
2021,NY,New York,St. Lawrence,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,30.8,,,26.9,35.2,108051,36089,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-75.074311 44.4881125)
2020,NY,New York,Broome,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,47.3,,,40.1,55.4,197240,36007,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-75.8302833 42.1619773)
2021,NY,New York,Oswego,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,6.6,,,5.8,7.4,117387,36075,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-76.2092618 43.4614431)
2021,NY,New York,Richmond,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,4.9,,,4.2,5.5,493494,36085,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-74.1398995 40.5612628)
