Bene_Geo_Lvl,Bene_Geo_Desc,Bene_Geo_Cd,Bene_Age_Lvl,Bene_Demo_Lvl,Bene_Demo_Desc,Bene_Cond,Prvlnc,Tot_Mdcr_Stdzd_Pymt_PC,Tot_Mdcr_Pymt_PC,Hosp_Readmsn_Rate,ER_Visits_Per_1000_Benes,is_southern
State,Alabama,1.0,All,All,All,Alcohol Abuse,0.0188,25102.3405,23348.6039,0.2413,2184.7557,southern
State,Alabama,1.0,All,All,All,Alzheimer's Disease/Dementia,0.114,25051.8813,22554.0576,0.2119,1410.8355,southern
State,Alabama,1.0,All,All,All,Arthritis,0.3897,15827.493,14403.578,0.1775,998.3314,southern
State,Alabama,1.0,All,All,All,Asthma,0.0499,20560.6948,18914.5834,0.2117,1614.4483,southern
State,Alabama,1.0,All,All,All,Atrial Fibrillation,0.0793,25450.4587,23414.3381,0.2268,1450.9822,southern
State,Alabama,1.0,All,All,All,Autism Spectrum Disorders,0.0017,7389.2244,6834.3493,0.1681,941.7373,southern
State,Alabama,1.0,All,All,All,COPD,0.1375,24579.4174,22509.9589,0.2237,1622.4625,southern
State,Alabama,1.0,All,All,All,Cancer,0.0806,21378.1832,19647.8751,0.1965,1000.8886,southern
State,Alabama,1.0,All,All,All,Chronic Kidney Disease,0.274,22013.2346,20194.3868,0.2172,1305.4389,southern
State,Alabama,1.0,All,All,All,Depression,0.1838,20298.7052,18488.5409,0.2069,1423.5163,southern
State,Alabama,1.0,All,All,All,Diabetes,0.3017,16286.6289,14858.6123,0.2054,1021.1721,southern
State,Alabama,1.0,All,All,All,Drug/Substance Abuse,0.043,22482.4866,20827.1447,0.2541,2292.9655,southern
State,Alabama,1.0,All,All,All,HIV/AIDS,0.0033,18165.4491,17360.6865,0.2638,1500.0,southern
State,Alabama,1.0,All,All,All,Heart Failure,0.1609,27576.5432,25290.6658,0.2346,1642.5684,southern
State,Alabama,1.0,All,All,All,Hepatitis (Chronic Viral B & C),0.0061,27041.6939,25730.5169,0.2912,2088.5478,southern
State,Alabama,1.0,All,All,All,Hyperlipidemia,0.5126,13967.3774,12773.1354,0.181,860.1103,southern
State,Alabama,1.0,All,All,All,Hypertension,0.6553,14203.2333,12977.23,0.1808,918.2997,southern
State,Alabama,1.0,All,All,All,Ischemic Heart Disease,0.2977,19260.6688,17636.4011,0.2057,1181.5682,southern
State,Alabama,1.0,All,All,All,Osteoporosis,0.0612,17964.7776,16361.1251,0.1722,967.3446,southern
State,Alabama,1.0,All,All,All,Schizophrenia and Other Psychotic Disorders,0.0314,21838.7072,19732.5561,0.2333,1884.0861,southern
State,Alabama,1.0,All,All,All,Stroke,0.0421,31273.8152,28654.3977,0.2125,1893.7149,southern
State,Alaska,2.0,All,All,All,Alcohol Abuse,0.0307,19015.0311,27744.3449,0.2065,2018.4403,non-southern
State,Alaska,2.0,All,All,All,Alzheimer's Disease/Dementia,0.081,17488.8888,24696.9428,0.1934,1477.5837,non-southern
State,Alaska,2.0,All,All,All,Arthritis,0.2509,13042.4991,17562.9166,0.1499,942.7967,non-southern
State,Alaska,2.0,All,All,All,Asthma,0.0346,19139.3286,26181.236,0.1972,1793.3856,non-southern
State,Alaska,2.0,All,All,All,Atrial Fibrillation,0.0608,20286.3669,27779.0941,0.197,1492.1466,non-southern
State,Alaska,2.0,All,All,All,COPD,0.0823,21806.0478,31218.5925,0.1985,1752.3659,non-southern
State,Alaska,2.0,All,All,All,Cancer,0.0636,17692.6761,23181.6764,0.1732,944.949,non-southern
State,Alaska,2.0,All,All,All,Chronic Kidney Disease,0.1763,19898.509,27282.5159,0.1952,1370.3084,non-southern
State,Alaska,2.0,All,All,All,Depression,0.1173,17263.3505,23446.4298,0.1969,1536.4039,non-southern
State,Alaska,2.0,All,All,All,Diabetes,0.2048,13185.4611,17673.4553,0.1791,970.4527,non-southern
State,Alaska,2.0,All,All,All,Drug/Substance Abuse,0.037,21495.9345,30410.6795,0.2218,2539.566,non-southern
State,Alaska,2.0,All,All,All,Heart Failure,0.0964,24456.6034,34267.2082,0.2141,1740.913,non-southern
State,Alaska,2.0,All,All,All,Hepatitis (Chronic Viral B & C),0.0114,16395.7757,22497.9674,0.2265,1583.8509,non-southern
State,Alaska,2.0,All,All,All,Hyperlipidemia,0.2587,13526.3148,18386.8676,0.1664,972.4185,non-southern
State,Alaska,2.0,All,All,All,Hypertension,0.41,13221.1493,17939.538,0.1571,1000.4602,non-southern
State,Alaska,2.0,All,All,All,Ischemic Heart Disease,0.1823,16486.0891,22516.4739,0.1847,1203.8043,non-southern
State,Alaska,2.0,All,All,All,Osteoporosis,0.0395,16843.7443,22910.7699,0.1649,1114.8225,non-southern
State,Alaska,2.0,All,All,All,Schizophrenia and Other Psychotic Disorders,0.0214,13971.5354,20224.0751,0.2078,2245.1684,non-southern
State,Alaska,2.0,All,All,All,Stroke,0.0242,26727.3284,36924.8241,0.1761,1863.4146,non-southern
State,Arizona,4.0,All,All,All,Alcohol Abuse,0.0189,24561.1065,27150.4733,0.2435,1920.4706,non-southern
State,Arizona,4.0,All,All,All,Alzheimer's Disease/Dementia,0.0794,22943.3448,24497.6976,0.2018,1436.1567,non-southern
State,Arizona,4.0,All,All,All,Arthritis,0.3369,14580.6261,15341.498,0.1597,863.9509,non-southern
