,Number of Beds,FTE - Employees on Payroll,Inpatient Revenue,Outpatient Revenue
0,39.0,13.62,6289807.0,21018010.0
1,521.0,3191.75,385563560.0,362804137.0
2,36.0,168.0,6638309.0,14729903.0
3,320.0,155.1,110132941.0,135418068.0
4,25.0,362.19,10567431.0,23595634.0
5,25.0,574.95,7811551.0,32537398.0
6,25.0,345.0,7049894.0,26141179.0
7,310.0,1424.44,131956801.0,167851870.0
8,25.0,12.75,935435.0,11263703.0
9,28.0,40.73,381991.0,35702712.0
10,45.0,248.23,5565312.0,16612152.0
11,38.0,66.88,8574364.0,23223367.0
12,47.0,102.36,7183479.0,28454292.0
13,522.0,3169.84,1208425315.0,604523750.0
14,94.0,115.63,36142785.0,57832930.0
15,166.0,113.02,111527759.0,134074979.0
16,36.0,47.75,19720067.0,42719004.0
18,181.0,301.39,46747697.0,86182104.0
19,119.0,307.34,115733494.0,93660479.0
20,81.0,463.64,82462728.0,222807576.0
21,32.0,154.71,12952404.0,50892233.0
22,380.0,2113.0,1290665853.0,680297175.0
23,49.0,243.45,13747856.0,65676735.0
25,24.0,84.52,1283280.0,8588806.0
26,135.0,748.27,113202226.0,125129657.0
27,336.0,1900.79,739285123.0,1059226290.0
28,60.0,108.1,15204719.0,1315233.0
29,75.0,251.55,23462971.0,48188185.0
30,8.0,27.03,156419.0,10916055.0
31,25.0,218.13,19954242.0,54364809.0
32,25.0,139.58,13112029.0,56748546.0
33,25.0,249.22,8850089.0,58172212.0
34,25.0,200.92,9084288.0,62813193.0
36,25.0,176.53,5619938.0,44979005.0
40,46.0,95.9,13471958.0,932935.0
41,170.0,306.19,224242446.0,305025889.0
42,108.0,11.37,10810025.0,1918559.0
44,13.0,118.92,3954562.0,25952175.0
47,60.0,155.43,42383511.0,334037.0
48,392.0,1901.48,98994263.0,98788644.0
49,90.0,479.44,19748390.0,43173346.0
52,25.0,283.71,25677028.0,72414303.0
53,19.0,78.78,6168993.0,14228103.0
55,15.0,116.03,4604887.0,21610032.0
57,74.0,69.61,14822036.0,182800.0
60,25.0,496.34,19645119.0,146760403.0
61,25.0,316.73,18645701.0,76554702.0
64,36.0,110.15,43950182.0,20649.0
66,25.0,135.67,18167435.0,31401928.0
67,19.0,72.0,1846858.0,13209335.0
68,25.0,91.91,6181519.0,15007120.0
71,6.0,103.78,5965799.0,35220585.0
72,25.0,267.6,37700692.0,90353697.0
73,21.0,272.96,22209473.0,130110717.0
74,25.0,16.24,4560664.0,8678005.0
75,15.0,13.89,2468937.0,4975494.0
76,25.0,64.84,2066880.0,11362061.0
77,35.0,141.92,37075369.0,58922664.0
78,15.0,79.0,10537715.0,10693405.0
79,18.0,131.85,7307378.0,36417163.0
80,30.0,244.57,29042079.0,76440955.0
81,15.0,63.93,649810.0,10130622.0
82,25.0,105.44,5050343.0,40279642.0
83,25.0,126.4,27888308.0,40020151.0
84,13.0,48.08,1104256.0,4322465.0
87,22.0,310.45,25768209.0,92576448.0
88,7.0,73.36,2178586.0,7670097.0
89,25.0,142.21,3658990.0,21858987.0
90,14.0,179.23,6016783.0,11666794.0
91,81.0,124.13,18570064.0,10943695.0
92,9.0,313.58,23624860.0,22792706.0
93,25.0,185.07,18163244.0,49430699.0
94,25.0,188.1,14664680.0,15141578.0
