Year,Patient County Code,Patient County Name,Rural/Urban,Payer,ER Opioid,ER Visits ,ER Rate Per 1000 ,Inpatient ER Opioid,Inpatient ER Discharges,Inpatient ER Rate Per 1000,Inpatient Non ER Opioid,Inpatient Non ER Discharges,Inpatient Non ER Rate Per 1000 ,Inpatient Total Opioid,Inpatient Total Discharges,Inpatient Total Rate Per 1000 ,ER Inpatient Total Opioid,ER Inpatient Total Discharges ,ER Inpatient Total Rate Per 1000,Opioid Ambulatory Surgery Visits,Ambulatory Surgery Visits,Ambulatory Surgery Rate Per 1000,Outpatient Opioid,Outpatient Visits,Outpatient Rate Per 1000,Other Outpatient Total Opioid, Other Outpatient Total Discharges,Other Outpatient Total Rate Per 1000,Overall Opioid,Overall Discharges,Overall Rate Per 1000
2013,1,Albany,Urban,Medicaid,22,35379,0.622,15,3408,4.401,1,3529,0.283,16,6937,2.306,38,42316,0.898,0,3945,0,0,29976,0,0,33921,0,38,76237,0.498
2010,1,Albany,Urban,Medicare,13,13486,0.964,13,10785,1.205,1,3370,0.297,14,14155,0.989,27,27641,0.977,0,9511,0,0,105,0,0,9616,0,27,37257,0.725
2010,2,Allegany,Rural,Medicaid,0,3917,0,2,422,4.739,1,710,1.408,3,1132,2.65,3,5049,0.594,0,816,0,0,26,0,0,842,0,3,5891,0.509
2013,2,Allegany,Rural,Medicaid,1,6273,0.159,1,292,3.425,0,474,0,1,766,1.305,2,7039,0.284,0,776,0,0,5612,0,0,6388,0,2,13427,0.149
2010,2,Allegany,Rural,Other,1,451,2.217,0,59,0,0,47,0,0,106,0,1,557,1.795,0,108,0,0,10,0,0,118,0,1,675,1.481
2012,2,Allegany,Rural,Other,0,560,0,0,62,0,0,51,0,0,113,0,0,673,0,0,79,0,0,1010,0,0,1089,0,0,1762,0
2010,3,Broome,Urban,Commercial,24,24971,0.961,13,2847,4.566,0,4269,0,13,7116,1.827,37,32087,1.153,0,9553,0,0,23,0,0,9576,0,37,41663,0.888
2010,3,Broome,Urban,Medicaid,14,18615,0.752,18,1793,10.039,3,2368,1.267,21,4161,5.047,35,22776,1.537,0,1572,0,0,16,0,0,1588,0,35,24364,1.437
2010,3,Broome,Urban,Medicare,6,12025,0.499,4,6800,0.588,0,2421,0,4,9221,0.434,10,21246,0.471,0,6225,0,0,20,0,0,6245,0,10,27491,0.364
2010,3,Broome,Urban,Other,0,1103,0,0,121,0,0,59,0,0,180,0,0,1283,0,0,161,0,0,1,0,0,162,0,0,1445,0
2011,3,Broome,Urban,Other,2,1769,1.131,1,191,5.236,0,99,0,1,290,3.448,3,2059,1.457,0,167,0,0,1528,0,0,1695,0,3,3754,0.799
