premis_desc,premis_desc_ordinal
7TH AND METRO CENTER (NOT LINE SPECIFIC),0
ABANDONED BUILDING ABANDONED HOUSE,1
ABATEMENT LOCATION,2
ABORTION CLINIC/ABORTION FACILITY*,3
AIRCRAFT,4
ALLEY,5
AMTRAK TRAIN,6
AMUSEMENT PARK*,7
APARTMENT/CONDO COMMON LAUNDRY ROOM,8
"ARCADE,GAME ROOM/VIDEO GAMES (EXAMPLE CHUCKIE CHEESE)*",9
"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)",10
AUTO REPAIR SHOP,11
AUTO SALES LOT,12
AUTO SUPPLY STORE*,13
AUTOMATED TELLER MACHINE (ATM),14
BALCONY*,15
BANK,16
BANK DROP BOX/MONEY DROP-OUTSIDE OF BANK*,17
BANKING INSIDE MARKET-STORE *,18
BAR/COCKTAIL/NIGHTCLUB,19
BAR/SPORTS BAR (OPEN DAY & NIGHT),20
BASKETBALL COURTS,21
BEACH,22
BEAUTY SUPPLY STORE,23
BEAUTY/BARBER SHOP,24
BOOK STORE,25
BOWLING ALLEY*,26
"BUS DEPOT/TERMINAL, OTHER THAN MTA",27
BUS STOP,28
BUS STOP/LAYOVER (ALSO QUERY 124),29
"BUS, SCHOOL, CHURCH",30
BUS-CHARTER/PRIVATE,31
CAR WASH,32
CATERING/ICE CREAM TRUCK,33
CELL PHONE STORE,34
CEMETARY*,35
CHECK CASHING*,36
CHEMICAL STORAGE/MANUFACTURING PLANT,37
CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),38
CLEANER/LAUNDROMAT,39
CLOTHING STORE,40
"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",41
COLISEUM,42
COLLEGE/JUNIOR COLLEGE/UNIVERSITY,43
COMPUTER SERVICES/REPAIRS/SALES,44
CONDOMINIUM/TOWNHOUSE,45
CONSTRUCTION SITE,46
CONVENTION CENTER,47
CREDIT UNION,48
CULTURAL SIGNIFICANCE/MONUMENT,49
CYBERSPACE,50
DAM/RESERVOIR,51
DAY CARE/ADULTS*,52
DAY CARE/CHILDREN*,53
"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",54
DEPARTMENT STORE,55
DEPT OF DEFENSE FACILITY,56
DETENTION/JAIL FACILITY,57
